country,official_lang,regional_lang,minority_lang,national_lang,widely_spoken_lang
Libya,['Arabic'],,,,
Liechtenstein,['German'],,,,
Lithuania,['Lithuanian'],,,,['Russian']
Luxembourg,"['French', 'German', 'Luxembourgish']",,,['Luxembourgish'],
Madagascar,"['French', 'Malagasy']",,,['Malagasy'],
Malawi,"['English', 'Chichewa']",,,['Chichewa'],
Malaysia,['Malay'],['Regional/State dialects'],,['Malay'],"['Malay', 'Mandarin Chinese', 'Cantonese', 'Tamil']"
Maldives,['Dhivehi'],,,,
Mali,['French'],['Tamazight'],,,
Malta,"['Maltese', 'English']",,,['Maltese'],
SovereignMilitaryOrderofMaltaa,['Italian'],,,,
MarshallIslands,['English'],,,['Marshallese'],
Mauritania,['Arabic'],,,"['Arabic', 'Fula', 'Soninke', 'Wolof']",['French']
Mauritius,"['English', 'Mauritian Creole']",,['English'],,
Mexico,['None'],,,['68 National languages'],
FederatedStatesofMicronesia,['English'],"['Chuukese', 'Kosraean', 'Pohnpeian', 'Yapese']",,,
Moldova,['Romanian'],"['Gagauz', 'Russian', 'Ukrainian']",,,
Monaco,['French'],,,,['Monégasque']
Mongolia,['Mongolian'],,,,
Montenegro,['Montenegrin'],,,,
Morocco,"['Arabic', 'Tamazight']",,,['Arabic'],['Darija']
Mozambique,['Portuguese'],,,,
MyanmarBurma,['Burmese'],"['Chin', 'Kachin', 'Karen', 'Karenni', 'Mon', 'Rakhine', 'Shan']",,,['English']
Namibia,['English'],"['German', 'Oshiwambo']",,['Afrikaans'],
Nauru,"['English', 'Nauruan']",,,,
Nepal,['Nepali'],,,['all languages spoken as the mother tongue in Nepal'],
Netherlands,"['Dutch', 'Frisian']","['English', 'Papiamento']","['Dutch Low Saxon', 'Dutch Sign Language', 'Limburgish', 'Sinte Romani', 'Yiddish']",,
NewZealand,"['English has de facto status', 'Māori language', 'New Zealand Sign Language']",,,,
Nicaragua,['Spanish'],,,,
Niger,['French'],,,"['Arabic', 'Hausa', 'Fulfulde', 'Gulmancema', 'Kanuri', 'Zarma', 'Tamazight']",
Nigeria,['English'],,,"['Hausa', 'Yoruba', 'Igbo', 'Tiv']",
Niue,"['English', 'Niuean']",,,,
NorfolkIsland,"['English', 'Norfuk']",,,,
NorthMacedonia,"['Macedonian', 'Albanian']",,,,
NorthernCyprusa,['Turkish'],,,,
Norway,"['Norwegian', 'Sami languages']","['Northern Sami', 'Lule Sami', 'Southern Sámi', 'Kven']","['Kven', 'Scandoromani']","['Bokmål', 'Nynorsk']",
Oman,['Arabic'],,['Shehri'],,
Pakistan,"['Urdu', 'English']",,,['Urdu'],"['Punjabi', 'Balochi', 'Sindhi', 'Pashto']"
Palau,"['English', 'Palauan']","['Sonsorolese', 'Tobian', 'Japanese']",,,
Palestine,['None'],,,,"['English', 'Hebrew']"
Panama,['Spanish'],,,,
PapuaNewGuinea,"['English', 'Hiri Motu', 'PNG Sign Language', 'Tok Pisin']",,,,
Paraguay,"['Spanish', 'Guaraní']",,,,
Peru,"['Peruvian Spanish', 'Quechua', 'Aymara', 'Asháninka']",,,,
Philippines,"['Filipino', 'English']","['Aklanon', 'Bikol', 'Cebuano', 'Chavacano', 'Hiligaynon', 'Ibanag', 'Ilocano', 'Ivatan', 'Kapampangan', 'Kinaray-a', 'Maguindanao', 'Maranao', 'Pangasinan', 'Sambal', 'Tagalog', 'Tausug', 'Waray', 'Yakan']",['Arabic Spanish'],"['Tagalog', 'Filipino Sign Language']",
Poland,['Polish'],['Kashubian'],"['German', 'Lithuanian', 'Belarusian', 'Czech', 'Hebrew', 'Yiddish', 'Lemko', 'Karaim', 'Armenian', 'Romani', 'Russian', 'Slovak', 'Tatar', 'Ukrainian']",,
Portugal,['Portuguese'],['Mirandese'],,,
Qatar,['Arabic'],,,,
Romania,['Romanian'],,"['Armenian', 'German', 'Hungarian', 'Romani', 'Russian', 'Serbian', 'Slovak', 'Tatar', 'Turkish', 'Ukrainian']",,['Aromanian']
Russia,['Russian'],,,,
Rwanda,"['English', 'French', 'Kinyarwanda', 'Swahili']",,,,
SahrawiArabDemocraticRepublica,"['Tamazight', 'Arabic', 'Spanish']",,,,
SaintKittsandNevis,['English'],,,,
