country,pop,pop_world (percent),pop_date,official_lang,regional_lang,minority_lang,national_lang,widely_spoken_lang
Slovakia,5431344,0.0678,2022-09-30,['Slovak'],,"['Bulgarian', 'Czech', 'German', 'Hungarian', 'Polish', 'Romani', 'Rusyn', 'Serbian', 'Ukrainian']",,
Ireland,5123536,0.0639,2022-04-03,"['Irish', 'English']",,,['Irish'],
Kuwait,4670713,0.0583,2020-12-31,['Standard Arabic'],,,"['Kuwaiti Sign Language', 'Kuwaiti Arabic', 'Kuwaiti Persian']",
Liberia,4661010,0.0581,2021-07-01,['English'],,,,
Oman,4527446,0.0565,2021-12-31,['Arabic'],,['Shehri'],,
Panama,4278500,0.0534,2020-07-01,['Spanish'],,,,
Mauritania,4271197,0.0533,2021-07-01,['Arabic'],,,"['Arabic', 'Fula', 'Soninke', 'Wolof']",['French']
Croatia,3871833,0.0483,2021-08-31,['Croatian'],"['Serbian', 'Hungarian', 'Czech', 'Slovak', 'Pannonian Rusyn', 'Istro-Romanian']",,"['Italian', 'Romani', 'Slovene']",
Georgia,3688600,0.046,2022-01-01,['Georgian'],,,,
Eritrea,3684000,0.046,2021-07-01,['Tigrinya'],,,,"['Arabic', 'Italian']"
Uruguay,3554915,0.0444,2021-06-30,['None'],,,,
Mongolia,3484652,0.0435,2023-02-28,['Mongolian'],,,,
Armenia,2976800,0.0371,2022-01-01,['Armenian'],,,['Armenian'],
Lithuania,2839020,0.0354,2022-11-01,['Lithuanian'],,,,['Russian']
Albania,2829741,0.0353,2021-01-01,['Albanian'],,"['Greek', 'Macedonian', 'Aromanian']",,['Italian']
Qatar,2799202,0.0349,2019-07-31,['Arabic'],,,,
Jamaica,2727503,0.034,2018-07-01,['English'],,,['Jamaican Patois'],
Gambia,2706000,0.0338,2021-07-01,['English'],,,,
Moldova,2597100,0.0324,2021-01-01,['Romanian'],"['Gagauz', 'Russian', 'Ukrainian']",,,
Namibia,2550226,0.0318,2021-07-01,['English'],"['German', 'Oshiwambo']",,['Afrikaans'],
Botswana,2410338,0.0301,2021-07-01,['English'],,,['Tswana'],"['Other Bantu languages', 'Several Khoisan languages']"
Lesotho,2306000,0.0288,2021-07-01,"['Sotho', 'English']",,,['Sotho'],
Gabon,2233272,0.0279,2021-07-01,['French'],,,,
Slovenia,2108977,0.0263,2021-01-01,['Slovene'],,"['Hungarian', 'Italian', 'Croatian']",,
Latvia,1895400,0.0236,2022-10-01,['Latvian'],,,,['Russian']
Bahrain,1501635,0.0187,2020-03-17,['Arabic'],,['English'],,
Estonia,1331796,0.0166,2022-01-01,['Estonian'],,,,"['English, Russian']"
Mauritius,1266334,0.0158,2021-06-30,"['English', 'Mauritian Creole']",,['English'],,
Eswatini,1202000,0.015,2021-07-01,"['English', 'Swazi']",,,,
Djibouti,1001454,0.0125,2022-07-01,"['Arabic', 'French']",,,,
Cyprus,918100,0.0115,2021-10-01,"['Greek', 'Turkish']",,,"['Armenian', 'Cypriot Arabic']",['English']
Fiji,898402,0.0112,2021-07-01,"['English', 'Fijian', 'Fiji Hindi']",,,,
Bhutan,763200,0.00952,2022-05-30,['Dzongkha'],,,,
Comoros,758316,0.00946,2017-12-15,"['Arabic', 'Comorian', 'French']",,,,
Guyana,743699,0.00928,2019-07-01,['English'],,,,['Guyanese Creole']
Luxembourg,645397,0.00805,2022-01-01,"['French', 'German', 'Luxembourgish']",,,['Luxembourgish'],
Montenegro,617683,0.00771,2022-01-01,['Montenegrin'],,,,
Suriname,598000,0.00746,2019-07-01,['Dutch'],,,['Sranan Tongo'],
Malta,519562,0.00648,2021-11-21,"['Maltese', 'English']",,,['Maltese'],
Belize,441471,0.00551,2022-07-01,['English'],['Spanish'],,,['Kriol']
Brunei,429999,0.00536,2021-07-01,"['Malay', 'English']",,,,
Bahamas,393450,0.00491,2021-07-01,['English'],,,,
Iceland,385230,0.00481,2022-09-30,"['Icelandic', 'Icelandic Sign Language']",,,,
Maldives,383135,0.00478,2019-12-31,['Dhivehi'],,,,
Vanuatu,301295,0.00376,2021-07-01,"['English', 'French']",,,['Bislama'],
Barbados,282000,0.00352,2021-07-01,['English'],,,,
Samoa,199853,0.00249,2021-07-01,['English'],,,['Samoan'],
Grenada,125000,0.00156,2021-07-01,['English'],,,,
Kiribati,120740,0.00151,2021-07-01,['English'],,,['Kiribati'],
Seychelles,100447,0.00125,2022-04-22,"['English', 'French', 'Seychellois Creole']",,,,
Tonga,100179,0.00125,2022-01-01,"['English', 'Tongan']",,,,
Andorra,81057,0.00101,2022-10-31,['Catalan'],,"['Spanish', 'French', 'Portuguese']",,
Dominica,73000,0.000911,2021-07-01,['English'],,,,
Liechtenstein,39444,0.000492,2022-06-30,['German'],,,,
Monaco,39150,0.000488,2021-12-31,['French'],,,,['Monégasque']
Palau,16733,0.000209,2021-07-01,"['English', 'Palauan']","['Sonsorolese', 'Tobian', 'Japanese']",,,
Nauru,11832,0.000148,2021-07-01,"['English', 'Nauruan']",,,,
Tuvalu,10679,0.000133,2021-07-01,"['Tuvaluan', 'English']",,,"['Tuvaluan', 'English']","['Tuvaluan', 'English']"
Niue,1549,0.0,2021-07-01,"['English', 'Niuean']",,,,
